OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
73296,Diamond St&Sussex St NW-NS/PS,DIAMSUS0,DIAMSUSX,4405,37.73731,-122.43475,,SUSSEX ST,DIAMOND ST,NS,NW,FL,0,1729767266000,15729590,147,8,POINT (-122.43475 37.73731),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,5,10,96,96
74539,Silver Ave&Mission St SE-FS/BZ,SILVMIS0,SILVMISS,6415,37.72866,-122.431217,,MISSION ST,SILVER AVE,FS,SE,BZ,0,1729767266000,15735871,147,11,POINT (-122.431217 37.72866),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,7,90,90
74100,California St&Battery St NE-NS,CALIBAT0,CALIBATT,3849,37.793296,-122.399813,,BATTERY ST,CALIFORNIA ST,NS,NE,,0,1729767266000,15732458,147,3,POINT (-122.399813 37.793296),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,8,108,108
75158,Santos St&Brookdale Ave SE-NS/BZ,SANTBRO1,SANTBROK,6340,37.711856999999995,-122.41868099999999,1,BROOKDALE AVE,SANTOS ST,NS,SE,,0,1729767266000,15737971,147,10,POINT (-122.418681 37.711857),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,9,40,74,74
73229,Brazil Ave&Mission St E-NS/PS,BRZLMISS,BRZLMISS,3761,37.724717,-122.434654,,MISSION ST,BRAZIL AVE,NS,EA,FL,0,1729767266000,15728970,147,11,POINT (-122.434654 37.724717),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,7,90,90
74107,Divisadero St&Oak St SW-FS/BZ,DIVIOAK0,DIVIOAK,4432,37.773050999999995,-122.437487,,OAK ST,DIVISADERO ST,FS,SW,BZ,0,1729767266000,15732478,147,5,POINT (-122.437487 37.773051),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,11,3,112,112
73029,California St&6TH Ave SW-NS/BZ,CALI 6A1,CALI 6AV,3825,37.784901999999995,-122.464709,1,06TH AVE,CALIFORNIA ST,NS,SW,BZ,0,1729767266000,15728759,147,1,POINT (-122.464709 37.784902),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,11,5,5
75645,Turk St&Baker St NW-FS/PS,TURKBAK0,TURKBAKR,6710,37.779288,-122.442174,,BAKER ST,TURK BLVD,FS,NW,,0,1729767266000,15735396,147,2,POINT (-122.442174 37.779288),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,7,6,18,13,13
75390,Lake Merced&Lake Merced Hill SW-FS/SB,L M HLL2,L M HLLS,4837,37.711203,-122.485513,,LAKE MERCED HILL,LAKE MERCED BLVD,MI,WE,,0,1729767266000,15738199,147,7,POINT (-122.485513 37.711203),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,16,43,43
75533,North Point St&Hyde St SW-NS/BZ,N.PTHYD0,N.PTHYDE,5459,37.805633,-122.420467,1,HYDE ST,NORTH POINT ST,NS,SW,BZ,1,1729767266000,15735236,147,2,POINT (-122.420467 37.805633),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,6,32,98,98
